Customer ID,Marital_Status,Income_in_Thousands,Number_of_Children,Level_of_Education_,Age_Category_,Total_Spend,Number_Transactions,X$T_TwoStep
7,Married,140,3,Some High School,35 - 49,21.5,13.2,Low Value Married No Kids
13,Married,225,4,High School Graduate,35 - 49,28.4,17.2,Average Married No Kids
15,Married,225,3,High School Graduate,35 - 49,28.4,17.2,Average Married No Kids
16,Married,210,4,High School Graduate,50 - 64,42,18,Average Married No Kids
23,Married,150,3,Some High School,35 - 49,23.99,16.4,Low Value Married No Kids
24,Married,200,4,High School Graduate,50 - 64,33.95,18.5,Average Married No Kids
30,Married,310,4,College Graduate,50 - 64,62,23.7,High Income Families
30,Married,310,4,College Graduate,50 - 64,62,23.7,High Income Families
30,Married,170,3,High School Graduate,35 - 49,26.99,16.6,Average Married No Kids
30,Married,170,3,High School Graduate,35 - 49,26.99,16.6,Average Married No Kids
33,Married,193,3,High School Graduate,50 - 64,33.4,16.6,Average Married No Kids
42,Married,175,3,High School Graduate,35 - 49,21.975,17.5,Average Married No Kids
42,Married,175,3,High School Graduate,35 - 49,21.975,17.5,Average Married No Kids
42,Married,193,3,High School Graduate,50 - 64,38.9,18.5,Average Married No Kids
42,Married,193,3,High School Graduate,50 - 64,38.9,18.5,Average Married No Kids
52,Married,240,4,College Graduate,50 - 64,25.3,17.5,High Income Families
57,Married,205,4,College Graduate,50 - 64,31.965,18.5,High Income Families
63,Married,205,4,College Graduate,35 - 49,27.885,17.5,Low Value Married No Kids
74,Married,275,4,College Graduate,50 - 64,39.895,18.5,High Income Families
74,Married,275,4,College Graduate,50 - 64,39.895,18.5,High Income Families
74,Married,275,4,College Graduate,50 - 64,44.475,18.5,High Income Families
74,Married,275,4,College Graduate,50 - 64,44.475,18.5,High Income Families
75,Married,275,4,College Graduate,50 - 64,39.665,19,High Income Families
82,Married,200,4,High School Graduate,50 - 64,31.01,18,Average Married No Kids
89,Single,255,6,Some College,20-34,46.225,30,Young Starters
89,Single,255,6,Some College,20-34,46.225,30,Young Starters
89,Married,115,3,Some High School,35 - 49,13.26,14.3,Low Value Married No Kids
89,Married,115,3,Some High School,35 - 49,13.26,14.3,Low Value Married No Kids
90,Married,170,3,High School Graduate,35 - 49,16.535,15,Average Married No Kids
90,Married,170,3,High School Graduate,35 - 49,16.535,15,Average Married No Kids
90,Married,175,3,High School Graduate,35 - 49,18.89,16.6,Average Married No Kids
90,Married,175,3,High School Graduate,35 - 49,18.89,16.6,Average Married No Kids
94,Married,180,3,High School Graduate,35 - 49,19.39,17,Average Married No Kids
95,Married,200,4,College Graduate,35 - 49,24.34,16.8,Low Value Married No Kids
96,Married,345,3,Some College,50 - 64,45.705,19.1,High Income Families
101,Married,120,2,Some High School,65 and up,13.96,13.2,Low Value Married No Kids
105,Married,55,2,Some High School,19 or below,9.235,10.3,Low Value Married No Kids
106,Married,180,3,High School Graduate,35 - 49,18.89,17,Average Married No Kids
112,Married,163,3,High School Graduate,50 - 64,19.84,15.9,Average Married No Kids
112,Married,163,3,High School Graduate,50 - 64,19.84,15.9,Average Married No Kids
112,Married,168,3,High School Graduate,50 - 64,24.495,16,Average Married No Kids
112,Married,168,3,High School Graduate,50 - 64,24.495,16,Average Married No Kids
121,Married,200,3,High School Graduate,35 - 49,22.245,17,Average Married No Kids
132,Married,132,3,Some High School,35 - 49,16.48,16,Low Value Married No Kids
135,Married,253,4,High School Graduate,50 - 64,28.34,17,Average Married No Kids
139,Single,,4,,,28.34,,
139,Single,,4,,,28.34,,
139,Married,253,4,High School Graduate,50 - 64,29.185,17,Average Married No Kids
139,Married,253,4,High School Graduate,50 - 64,29.185,17,Average Married No Kids
147,Married,132,3,Some High School,35 - 49,12.64,12.5,Low Value Married No Kids
155,Married,163,3,High School Graduate,50 - 64,19.045,15.9,Average Married No Kids
155,Married,163,3,High School Graduate,50 - 64,19.045,15.9,Average Married No Kids
155,Married,168,3,High School Graduate,50 - 64,20.23,16,Average Married No Kids
155,Married,168,3,High School Graduate,50 - 64,20.23,16,Average Married No Kids
156,Married,202,3,High School Graduate,,22.505,17,
156,Married,202,3,High School Graduate,,22.505,17,
156,Married,450,3,Trade/Technical School,20-34,69.725,19,High Income Families
156,Married,450,3,Trade/Technical School,20-34,69.725,19,High Income Families
159,Single,230,4,Some College,20-34,19.46,26,Young Starters
161,Single,175,4,College Graduate,20-34,21.315,32,Young Starters
161,Single,175,4,College Graduate,20-34,21.315,32,Young Starters
161,Single,175,4,College Graduate,20-34,18.575,32,Young Starters
161,Single,175,4,College Graduate,20-34,18.575,32,Young Starters
162,Single,120,4,High School Graduate,20-34,16.98,22,Young Starters
164,Single,150,4,High School Graduate,50 - 64,19.565,20,Young Starters
164,Single,150,4,High School Graduate,50 - 64,19.565,20,Young Starters
164,Single,230,4,Some College,20-34,26.31,25,Young Starters
164,Single,230,4,Some College,20-34,26.31,25,Young Starters
181,Married,190,3,College Graduate,50 - 64,21.56,15.7,High Income Families
181,Married,190,3,College Graduate,50 - 64,21.56,15.7,High Income Families
181,Married,110,2,Some High School,65 and up,12.07,12.7,Low Value Married No Kids
181,Married,110,2,Some High School,65 and up,12.07,12.7,Low Value Married No Kids
183,Married,170,3,High School Graduate,35 - 49,17.035,15,Average Married No Kids
187,Married,107,3,Some High School,65 and up,12.315,13.2,Low Value Married No Kids
187,Married,107,3,Some High School,65 and up,12.315,13.2,Low Value Married No Kids
187,Married,155,3,High School Graduate,50 - 64,17.885,16,Average Married No Kids
187,Married,155,3,High School Graduate,50 - 64,17.885,16,Average Married No Kids
191,Married,200,4,College Graduate,50 - 64,22.195,19,High Income Families
193,Single,150,4,High School Graduate,50 - 64,21.41,26,Young Starters
193,Single,150,4,High School Graduate,50 - 64,21.41,26,Young Starters
193,Single,210,4,College Graduate,20-34,31.93,21,Young Starters
193,Single,210,4,College Graduate,20-34,31.93,21,Young Starters
196,Single,240,5,College Graduate,20-34,36.135,26,Young Starters
199,Single,119,3,High School Graduate,50 - 64,12.05,20,Young Starters
203,Single,220,4,College Graduate,20-34,26.935,25.1,Young Starters
203,Single,220,4,College Graduate,20-34,26.935,25.1,Young Starters
203,Married,106,2,Some High School,65 and up,12.885,11.9,Low Value Married No Kids
203,Married,106,2,Some High School,65 and up,12.885,11.9,Low Value Married No Kids
204,Married,135,3,Some High School,35 - 49,15.35,17.1,Low Value Married No Kids
210,Single,146,3,Some High School,50 - 64,20.55,15.3,Low Value Married No Kids
210,Single,146,3,Some High School,50 - 64,20.55,15.3,Low Value Married No Kids
210,Single,205,4,High School Graduate,20-34,26.6,21.1,Young Starters
210,Single,205,4,High School Graduate,20-34,26.6,21.1,Young Starters
218,Single,210,4,High School Graduate,50 - 64,26,20,Young Starters
222,Married,92,2,Some High School,65 and up,9.699,11.9,Low Value Married No Kids
224,Married,140,3,Some High School,35 - 49,11.799,14.5,Low Value Married No Kids
228,Married,148,3,High School Graduate,35 - 49,14.999,17.2,Average Married No Kids
228,Married,148,3,High School Graduate,35 - 49,14.999,17.2,Average Married No Kids
228,Married,227,3,High School Graduate,35 - 49,29.465,18.5,Average Married No Kids
